id_membre,pays_principal,age,tranche_age,genre,date_inscription,anciennete_mois,type_abonnement_actuel,appareil_principal,statut_abonnement
1,Belgique,29,35-49,Femme,2023-09-11,1,Standard,iPhone,Actif
2,Suisse,50,35-49,Non spécifié,2022-12-11,4,Premium,Tablette,Actif
3,Canada,62,50+,Homme,2022-07-11,23,VIP,Ordinateur,Inactif
4,Allemagne,57,50+,Femme,2023-03-11,10,Essai,Smart TV,Inactif
5,Espagne,61,50+,Non spécifié,2024-11-11,13,Basique,Console Jeu,Actif
6,Italie,21,25-34,Homme,2024-11-11,42,Standard,Smartphone Android,Actif
7,Royaume-Uni,39,35-49,Femme,2023-12-11,2,Premium,iPhone,Actif
8,États-Unis,55,25-34,Non spécifié,2024-07-11,36,VIP,Tablette,Actif
9,Maroc,52,35-49,Homme,2023-07-11,42,Essai,Ordinateur,Suspendu
10,Tunisie,25,35-49,Femme,2025-10-11,34,Basique,Smart TV,Actif
11,Algérie,65,50+,Non spécifié,2025-06-11,16,Standard,Console Jeu,Suspendu
12,Sénégal,26,25-34,Homme,2024-03-11,25,Premium,Smartphone Android,Actif
13,Côte d'Ivoire,29,25-34,Femme,2024-10-11,36,VIP,iPhone,Inactif
14,Brésil,22,50+,Non spécifié,2022-01-11,40,Essai,Tablette,Actif
15,Portugal,46,35-49,Homme,2023-11-11,19,Basique,Ordinateur,Actif
16,Pays-Bas,46,35-49,Femme,2024-08-11,29,Standard,Smart TV,Inactif
17,Luxembourg,27,35-49,Non spécifié,2022-10-11,22,Premium,Console Jeu,Inactif
18,Suède,21,50+,Homme,2022-05-11,32,VIP,Smartphone Android,Actif
19,Autre,68,50+,Femme,2022-05-11,5,Essai,iPhone,Actif
20,France,25,35-49,Non spécifié,2025-03-11,1,Basique,Tablette,Actif
21,Belgique,55,25-34,Homme,2022-03-11,15,Standard,Ordinateur,Actif
22,Suisse,60,50+,Femme,2023-07-11,21,Premium,Smart TV,Actif
23,Canada,31,50+,Non spécifié,2024-05-11,19,VIP,Console Jeu,Actif
24,Allemagne,52,25-34,Homme,2023-11-11,18,Essai,Smartphone Android,Actif
25,Espagne,21,35-49,Femme,2025-11-11,31,Basique,iPhone,Actif
26,Italie,21,35-49,Non spécifié,2023-06-11,1,Standard,Tablette,Actif
27,Royaume-Uni,36,35-49,Homme,2022-01-11,35,Premium,Ordinateur,Actif
28,États-Unis,41,25-34,Femme,2023-02-11,42,VIP,Smart TV,Actif
29,Maroc,48,18-24,Non spécifié,2023-06-11,1,Essai,Console Jeu,Actif
30,Tunisie,45,35-49,Homme,2023-08-11,40,Basique,Smartphone Android,Suspendu
31,Algérie,20,25-34,Femme,2024-06-11,8,Standard,iPhone,Actif
32,Sénégal,36,18-24,Non spécifié,2025-07-11,28,Premium,Tablette,Actif
33,Côte d'Ivoire,47,35-49,Homme,2025-09-11,13,VIP,Ordinateur,Actif
34,Brésil,45,35-49,Femme,2025-11-11,41,Essai,Smart TV,Actif
35,Portugal,70,50+,Non spécifié,2024-11-11,15,Basique,Console Jeu,Actif
36,Pays-Bas,65,25-34,Homme,2022-05-11,43,Standard,Smartphone Android,Suspendu
37,Luxembourg,42,35-49,Femme,2025-08-11,28,Premium,iPhone,Actif
38,Suède,59,25-34,Non spécifié,2023-02-11,10,VIP,Tablette,Inactif
39,Autre,45,25-34,Homme,2024-10-11,43,Essai,Ordinateur,Suspendu
40,France,33,25-34,Femme,2023-05-11,37,Basique,Smart TV,Inactif
41,Belgique,20,50+,Non spécifié,2022-04-11,36,Standard,Console Jeu,Inactif
42,Suisse,41,35-49,Homme,2024-09-11,39,Premium,Smartphone Android,Actif
43,Canada,22,35-49,Femme,2024-05-11,46,VIP,iPhone,Suspendu
44,Allemagne,23,35-49,Non spécifié,2025-09-11,10,Essai,Tablette,Inactif
45,Espagne,36,50+,Homme,2022-11-11,48,Basique,Ordinateur,Suspendu
46,Italie,73,50+,Femme,2025-05-11,20,Standard,Smart TV,Actif
47,Royaume-Uni,35,35-49,Non spécifié,2024-11-11,17,Premium,Console Jeu,Inactif
48,États-Unis,27,25-34,Homme,2024-12-11,8,VIP,Smartphone Android,Actif
49,Maroc,38,50+,Femme,2024-09-11,31,Essai,iPhone,Suspendu
50,Tunisie,34,35-49,Non spécifié,2022-03-11,16,Basique,Tablette,Actif
51,Algérie,34,35-49,Homme,2023-04-11,31,Standard,Ordinateur,Actif
52,Sénégal,55,50+,Femme,2024-08-11,37,Premium,Smart TV,Inactif
53,Côte d'Ivoire,55,35-49,Non spécifié,2024-04-11,25,VIP,Console Jeu,Actif
54,Brésil,43,50+,Homme,2025-10-11,19,Essai,Smartphone Android,Inactif
55,Portugal,58,35-49,Femme,2022-06-11,47,Basique,iPhone,Actif
56,Pays-Bas,45,50+,Non spécifié,2022-04-11,9,Standard,Tablette,Suspendu
57,Luxembourg,54,25-34,Homme,2024-01-11,23,Premium,Ordinateur,Inactif
58,Suède,65,50+,Femme,2024-11-11,5,VIP,Smart TV,Suspendu
59,Autre,61,35-49,Non spécifié,2022-10-11,32,Essai,Console Jeu,Inactif
60,France,36,18-24,Homme,2025-06-11,31,Basique,Smartphone Android,Inactif
